inventory_id,warehouse_id,warehouse_name,warehouse_state,warehouse_region,product_id,product_name,brand_name,stock_available,reorder_level,max_capacity,stock_status,days_of_supply,last_updated
INV00028,WH001,Mumbai Central WH,Maharashtra,West,PRD028,Baby Lotion 200ml,Johnson's,61,79,790,Low Stock,23.2,2024-12-31
INV00029,WH001,Mumbai Central WH,Maharashtra,West,PRD029,Baby Wipes 80pcs,Pampers,1057,196,1960,Overstocked,161.8,2024-12-06
INV00030,WH001,Mumbai Central WH,Maharashtra,West,PRD030,Baby Powder 100g,Johnson's,98,162,1620,Low Stock,18.1,2024-12-23
INV00031,WH001,Mumbai Central WH,Maharashtra,West,PRD031,Baby Shampoo 100ml,Himalaya,310,168,1680,Healthy,55.4,2024-12-04
INV00032,WH001,Mumbai Central WH,Maharashtra,West,PRD032,Diaper Pants M 30pcs,Huggies,163,192,1920,Low Stock,25.5,2024-12-19
INV00033,WH001,Mumbai Central WH,Maharashtra,West,PRD033,Whey Protein 500g,Ensure,65,85,850,Low Stock,22.9,2024-12-20
INV00034,WH001,Mumbai Central WH,Maharashtra,West,PRD034,Immunity Syrup 200ml,Dabur Chyawanprash,424,190,1900,Healthy,66.9,2024-12-11
INV00035,WH001,Mumbai Central WH,Maharashtra,West,PRD035,Pain Relief Gel 30g,Volini,1404,195,1950,Overstocked,216.0,2024-12-12
INV00036,WH001,Mumbai Central WH,Maharashtra,West,PRD036,Energy Bar 50g,RiteBite,223,93,930,Healthy,71.9,2025-01-01
INV00037,WH001,Mumbai Central WH,Maharashtra,West,PRD037,Mouthwash 250ml,Listerine,241,146,1460,Healthy,49.5,2024-12-03
INV00038,WH001,Mumbai Central WH,Maharashtra,West,PRD038,Hand Sanitizer 100ml,Dettol,253,113,1130,Healthy,67.2,2024-12-14
INV00039,WH001,Mumbai Central WH,Maharashtra,West,PRD039,Glucose Powder 500g,Glucon-D,19,117,1170,Low Stock,4.9,2024-12-03
INV00040,WH002,Pune Distribution WH,Maharashtra,West,PRD001,Shampoo 200ml,Sunsilk,242,141,1410,Healthy,51.5,2024-12-20
INV00041,WH002,Pune Distribution WH,Maharashtra,West,PRD002,Anti-Dandruff Shampoo,Head & Shoulders,9,90,900,Low Stock,3.0,2024-12-05
INV00042,WH002,Pune Distribution WH,Maharashtra,West,PRD003,Face Wash 100g,Himalaya,457,191,1910,Healthy,71.8,2024-12-28
INV00043,WH002,Pune Distribution WH,Maharashtra,West,PRD004,Body Lotion 300ml,Vaseline,298,102,1020,Healthy,87.6,2024-12-09
INV00044,WH002,Pune Distribution WH,Maharashtra,West,PRD005,Talcum Powder 150g,Ponds,1357,170,1700,Overstocked,239.5,2024-12-19
INV00045,WH002,Pune Distribution WH,Maharashtra,West,PRD006,Herbal Hair Oil 100ml,Dabur Amla,186,96,960,Healthy,58.1,2024-12-25
INV00046,WH002,Pune Distribution WH,Maharashtra,West,PRD007,Whitening Toothpaste,Colgate,386,84,840,Overstocked,137.9,2025-01-01
INV00047,WH002,Pune Distribution WH,Maharashtra,West,PRD008,Charcoal Toothpaste,Patanjali,195,107,1070,Healthy,54.7,2024-12-19
INV00048,WH002,Pune Distribution WH,Maharashtra,West,PRD009,Deo Spray 150ml,Axe,207,160,1600,Healthy,38.8,2024-12-13
INV00049,WH002,Pune Distribution WH,Maharashtra,West,PRD010,Perfume Deo 150ml,Fogg,107,149,1490,Low Stock,21.5,2024-12-22
INV00050,WH002,Pune Distribution WH,Maharashtra,West,PRD011,Moisturizing Soap 100g,Dove,337,197,1970,Healthy,51.3,2024-12-17
INV00051,WH002,Pune Distribution WH,Maharashtra,West,PRD012,Neem Soap 100g,Medimix,383,88,880,Overstocked,130.6,2024-12-08
INV00052,WH002,Pune Distribution WH,Maharashtra,West,PRD013,Detergent Powder 1kg,Surf Excel,175,60,600,Healthy,87.5,2024-12-03
INV00053,WH002,Pune Distribution WH,Maharashtra,West,PRD014,Fabric Softener 500ml,Comfort,118,57,570,Healthy,62.1,2024-12-27
INV00054,WH002,Pune Distribution WH,Maharashtra,West,PRD015,Dish Wash Liquid 500ml,Vim,224,160,1600,Healthy,42.0,2025-01-01
INV00055,WH002,Pune Distribution WH,Maharashtra,West,PRD016,Floor Cleaner 1L,Lizol,402,189,1890,Healthy,63.8,2024-12-30
INV00056,WH002,Pune Distribution WH,Maharashtra,West,PRD017,Toilet Cleaner 500ml,Harpic,255,182,1820,Healthy,42.0,2024-12-31
INV00057,WH002,Pune Distribution WH,Maharashtra,West,PRD018,All-Purpose Spray 400ml,Colin,452,154,1540,Healthy,88.1,2024-12-06
INV00058,WH002,Pune Distribution WH,Maharashtra,West,PRD019,Cream Biscuits 200g,Oreo,196,121,1210,Healthy,48.6,2024-12-19
INV00059,WH002,Pune Distribution WH,Maharashtra,West,PRD020,Instant Noodles 75g,Maggi,2,75,750,Low Stock,0.8,2024-12-25
INV00060,WH002,Pune Distribution WH,Maharashtra,West,PRD021,Refined Sunflower Oil 1L,Fortune,93,145,1450,Low Stock,19.2,2024-12-07
INV00061,WH002,Pune Distribution WH,Maharashtra,West,PRD022,Masala Chai 250g,Tata Tea,153,87,870,Healthy,52.8,2024-12-31
INV00062,WH002,Pune Distribution WH,Maharashtra,West,PRD023,Instant Coffee 50g,Nescafe,91,176,1760,Low Stock,15.5,2024-12-15
INV00063,WH002,Pune Distribution WH,Maharashtra,West,PRD024,Mixed Masala 100g,MDH,160,106,1060,Healthy,45.3,2024-12-21
INV00064,WH002,Pune Distribution WH,Maharashtra,West,PRD025,Mixed Fruit Jam 250g,Kissan,553,90,900,Overstocked,184.3,2024-12-02
INV00065,WH002,Pune Distribution WH,Maharashtra,West,PRD026,Tomato Ketchup 500g,Heinz,238,169,1690,Healthy,42.2,2024-12-17
INV00066,WH002,Pune Distribution WH,Maharashtra,West,PRD027,Cornflakes 500g,Kelloggs,21,192,1920,Low Stock,3.3,2024-12-24
INV00067,WH002,Pune Distribution WH,Maharashtra,West,PRD028,Baby Lotion 200ml,Johnson's,102,51,510,Healthy,60.0,2024-12-26
INV00068,WH002,Pune Distribution WH,Maharashtra,West,PRD029,Baby Wipes 80pcs,Pampers,149,87,870,Healthy,51.4,2024-12-17
INV00069,WH002,Pune Distribution WH,Maharashtra,West,PRD030,Baby Powder 100g,Johnson's,737,133,1330,Overstocked,166.2,2024-12-08
INV00070,WH002,Pune Distribution WH,Maharashtra,West,PRD031,Baby Shampoo 100ml,Himalaya,135,186,1860,Low Stock,21.8,2024-12-27
INV00071,WH002,Pune Distribution WH,Maharashtra,West,PRD032,Diaper Pants M 30pcs,Huggies,476,161,1610,Healthy,88.7,2024-12-28
INV00072,WH002,Pune Distribution WH,Maharashtra,West,PRD033,Whey Protein 500g,Ensure,290,184,1840,Healthy,47.3,2024-12-28
INV00073,WH002,Pune Distribution WH,Maharashtra,West,PRD034,Immunity Syrup 200ml,Dabur Chyawanprash,344,163,1630,Healthy,63.3,2024-12-05
INV00074,WH002,Pune Distribution WH,Maharashtra,West,PRD035,Pain Relief Gel 30g,Volini,70,108,1080,Low Stock,19.4,2024-12-21
INV00075,WH002,Pune Distribution WH,Maharashtra,West,PRD036,Energy Bar 50g,RiteBite,101,92,920,Healthy,32.9,2024-12-25
INV00076,WH002,Pune Distribution WH,Maharashtra,West,PRD037,Mouthwash 250ml,Listerine,256,170,1700,Healthy,45.2,2024-12-26
INV00077,WH002,Pune Distribution WH,Maharashtra,West,PRD038,Hand Sanitizer 100ml,Dettol,305,73,730,Overstocked,125.3,2024-12-07
INV00078,WH002,Pune Distribution WH,Maharashtra,West,PRD039,Glucose Powder 500g,Glucon-D,254,163,1630,Healthy,46.7,2024-12-22
INV00079,WH003,Ahmedabad WH,Gujarat,West,PRD001,Shampoo 200ml,Sunsilk,77,164,1640,Low Stock,14.1,2024-12-17
INV00080,WH003,Ahmedabad WH,Gujarat,West,PRD002,Anti-Dandruff Shampoo,Head & Shoulders,162,56,560,Healthy,86.8,2024-12-31
INV00081,WH003,Ahmedabad WH,Gujarat,West,PRD003,Face Wash 100g,Himalaya,407,87,870,Overstocked,140.3,2024-12-15
INV00082,WH003,Ahmedabad WH,Gujarat,West,PRD004,Body Lotion 300ml,Vaseline,1283,183,1830,Overstocked,210.3,2024-12-04
INV00083,WH003,Ahmedabad WH,Gujarat,West,PRD005,Talcum Powder 150g,Ponds,266,123,1230,Healthy,64.9,2024-12-31
INV00084,WH003,Ahmedabad WH,Gujarat,West,PRD006,Herbal Hair Oil 100ml,Dabur Amla,716,129,1290,Overstocked,166.5,2024-12-23
INV00085,WH003,Ahmedabad WH,Gujarat,West,PRD007,Whitening Toothpaste,Colgate,10,164,1640,Low Stock,1.8,2024-12-27
INV00086,WH003,Ahmedabad WH,Gujarat,West,PRD008,Charcoal Toothpaste,Patanjali,35,89,890,Low Stock,11.8,2024-12-23
INV00087,WH003,Ahmedabad WH,Gujarat,West,PRD009,Deo Spray 150ml,Axe,128,176,1760,Low Stock,21.8,2024-12-11
INV00088,WH003,Ahmedabad WH,Gujarat,West,PRD010,Perfume Deo 150ml,Fogg,208,102,1020,Healthy,61.2,2024-12-27
INV00089,WH003,Ahmedabad WH,Gujarat,West,PRD011,Moisturizing Soap 100g,Dove,68,104,1040,Low Stock,19.6,2024-12-27
INV00090,WH003,Ahmedabad WH,Gujarat,West,PRD012,Neem Soap 100g,Medimix,355,185,1850,Healthy,57.6,2024-12-09
INV00091,WH003,Ahmedabad WH,Gujarat,West,PRD013,Detergent Powder 1kg,Surf Excel,65,61,610,Healthy,32.0,2024-12-27
INV00092,WH003,Ahmedabad WH,Gujarat,West,PRD014,Fabric Softener 500ml,Comfort,242,134,1340,Healthy,54.2,2024-12-03
INV00093,WH003,Ahmedabad WH,Gujarat,West,PRD015,Dish Wash Liquid 500ml,Vim,483,112,1120,Overstocked,129.4,2024-12-10
INV00094,WH003,Ahmedabad WH,Gujarat,West,PRD016,Floor Cleaner 1L,Lizol,272,98,980,Healthy,83.3,2024-12-26
INV00095,WH003,Ahmedabad WH,Gujarat,West,PRD017,Toilet Cleaner 500ml,Harpic,55,77,770,Low Stock,21.4,2024-12-29
INV00096,WH003,Ahmedabad WH,Gujarat,West,PRD018,All-Purpose Spray 400ml,Colin,43,62,620,Low Stock,20.8,2024-12-13
INV00097,WH003,Ahmedabad WH,Gujarat,West,PRD019,Cream Biscuits 200g,Oreo,119,171,1710,Low Stock,20.9,2024-12-28
INV00098,WH003,Ahmedabad WH,Gujarat,West,PRD020,Instant Noodles 75g,Maggi,39,64,640,Low Stock,18.3,2024-12-08
INV00099,WH003,Ahmedabad WH,Gujarat,West,PRD021,Refined Sunflower Oil 1L,Fortune,51,81,810,Low Stock,18.9,2024-12-12
INV00100,WH003,Ahmedabad WH,Gujarat,West,PRD022,Masala Chai 250g,Tata Tea,150,64,640,Healthy,70.3,2024-12-08
INV00101,WH003,Ahmedabad WH,Gujarat,West,PRD023,Instant Coffee 50g,Nescafe,35,55,550,Low Stock,19.1,2024-12-02
INV00102,WH003,Ahmedabad WH,Gujarat,West,PRD024,Mixed Masala 100g,MDH,951,122,1220,Overstocked,233.9,2024-12-28
INV00103,WH003,Ahmedabad WH,Gujarat,West,PRD025,Mixed Fruit Jam 250g,Kissan,1298,166,1660,Overstocked,234.6,2024-12-14
INV00104,WH003,Ahmedabad WH,Gujarat,West,PRD026,Tomato Ketchup 500g,Heinz,337,132,1320,Healthy,76.6,2024-12-11
INV00105,WH003,Ahmedabad WH,Gujarat,West,PRD027,Cornflakes 500g,Kelloggs,1256,178,1780,Overstocked,211.7,2024-12-28
INV00106,WH003,Ahmedabad WH,Gujarat,West,PRD028,Baby Lotion 200ml,Johnson's,979,130,1300,Overstocked,225.9,2024-12-06
INV00107,WH003,Ahmedabad WH,Gujarat,West,PRD029,Baby Wipes 80pcs,Pampers,728,141,1410,Overstocked,154.9,2024-12-28
INV00108,WH003,Ahmedabad WH,Gujarat,West,PRD030,Baby Powder 100g,Johnson's,654,99,990,Overstocked,198.2,2024-12-19
INV00109,WH003,Ahmedabad WH,Gujarat,West,PRD031,Baby Shampoo 100ml,Himalaya,328,131,1310,Healthy,75.1,2024-12-08
INV00110,WH003,Ahmedabad WH,Gujarat,West,PRD032,Diaper Pants M 30pcs,Huggies,466,182,1820,Healthy,76.8,2024-12-25
INV00111,WH003,Ahmedabad WH,Gujarat,West,PRD033,Whey Protein 500g,Ensure,67,158,1580,Low Stock,12.7,2024-12-04
INV00112,WH003,Ahmedabad WH,Gujarat,West,PRD034,Immunity Syrup 200ml,Dabur Chyawanprash,25,113,1130,Low Stock,6.6,2024-12-08
INV00113,WH003,Ahmedabad WH,Gujarat,West,PRD035,Pain Relief Gel 30g,Volini,113,107,1070,Healthy,31.7,2024-12-11
INV00114,WH003,Ahmedabad WH,Gujarat,West,PRD036,Energy Bar 50g,RiteBite,253,164,1640,Healthy,46.3,2024-12-10
INV00115,WH003,Ahmedabad WH,Gujarat,West,PRD037,Mouthwash 250ml,Listerine,245,156,1560,Healthy,47.1,2024-12-10
INV00116,WH003,Ahmedabad WH,Gujarat,West,PRD038,Hand Sanitizer 100ml,Dettol,32,193,1930,Low Stock,5.0,2024-12-27
INV00117,WH003,Ahmedabad WH,Gujarat,West,PRD039,Glucose Powder 500g,Glucon-D,1104,178,1780,Overstocked,186.1,2024-12-22
INV00118,WH004,Delhi NCR WH,Delhi,North,PRD001,Shampoo 200ml,Sunsilk,240,177,1770,Healthy,40.7,2024-12-14
INV00119,WH004,Delhi NCR WH,Delhi,North,PRD002,Anti-Dandruff Shampoo,Head & Shoulders,33,145,1450,Low Stock,6.8,2024-12-13
INV00120,WH004,Delhi NCR WH,Delhi,North,PRD003,Face Wash 100g,Himalaya,58,58,580,Healthy,30.0,2024-12-17
INV00121,WH004,Delhi NCR WH,Delhi,North,PRD004,Body Lotion 300ml,Vaseline,21,168,1680,Low Stock,3.8,2024-12-10
INV00122,WH004,Delhi NCR WH,Delhi,North,PRD005,Talcum Powder 150g,Ponds,392,168,1680,Healthy,70.0,2024-12-26
INV00123,WH004,Delhi NCR WH,Delhi,North,PRD006,Herbal Hair Oil 100ml,Dabur Amla,137,95,950,Healthy,43.3,2025-01-01
INV00124,WH004,Delhi NCR WH,Delhi,North,PRD007,Whitening Toothpaste,Colgate,1,59,590,Low Stock,0.5,2024-12-25
INV00125,WH004,Delhi NCR WH,Delhi,North,PRD008,Charcoal Toothpaste,Patanjali,1311,191,1910,Overstocked,205.9,2024-12-20
INV00126,WH004,Delhi NCR WH,Delhi,North,PRD009,Deo Spray 150ml,Axe,1003,164,1640,Overstocked,183.5,2024-12-14
INV00127,WH004,Delhi NCR WH,Delhi,North,PRD010,Perfume Deo 150ml,Fogg,14,117,1170,Low Stock,3.6,2024-12-25
INV00128,WH004,Delhi NCR WH,Delhi,North,PRD011,Moisturizing Soap 100g,Dove,145,109,1090,Healthy,39.9,2024-12-29
INV00129,WH004,Delhi NCR WH,Delhi,North,PRD012,Neem Soap 100g,Medimix,97,99,990,Low Stock,29.4,2024-12-31
INV00130,WH004,Delhi NCR WH,Delhi,North,PRD013,Detergent Powder 1kg,Surf Excel,224,178,1780,Healthy,37.8,2024-12-05
INV00131,WH004,Delhi NCR WH,Delhi,North,PRD014,Fabric Softener 500ml,Comfort,120,96,960,Healthy,37.5,2024-12-10
INV00132,WH004,Delhi NCR WH,Delhi,North,PRD015,Dish Wash Liquid 500ml,Vim,663,104,1040,Overstocked,191.2,2024-12-25
INV00133,WH004,Delhi NCR WH,Delhi,North,PRD016,Floor Cleaner 1L,Lizol,211,121,1210,Healthy,52.3,2024-12-13
INV00134,WH004,Delhi NCR WH,Delhi,North,PRD017,Toilet Cleaner 500ml,Harpic,103,120,1200,Low Stock,25.8,2024-12-16
INV00135,WH004,Delhi NCR WH,Delhi,North,PRD018,All-Purpose Spray 400ml,Colin,245,85,850,Healthy,86.5,2024-12-22
INV00136,WH004,Delhi NCR WH,Delhi,North,PRD019,Cream Biscuits 200g,Oreo,220,77,770,Healthy,85.7,2024-12-04
INV00137,WH004,Delhi NCR WH,Delhi,North,PRD020,Instant Noodles 75g,Maggi,133,80,800,Healthy,49.9,2024-12-24
INV00138,WH004,Delhi NCR WH,Delhi,North,PRD021,Refined Sunflower Oil 1L,Fortune,140,120,1200,Healthy,35.0,2024-12-31
INV00139,WH004,Delhi NCR WH,Delhi,North,PRD022,Masala Chai 250g,Tata Tea,491,173,1730,Healthy,85.1,2024-12-04
INV00140,WH004,Delhi NCR WH,Delhi,North,PRD023,Instant Coffee 50g,Nescafe,428,149,1490,Healthy,86.2,2024-12-28
INV00141,WH004,Delhi NCR WH,Delhi,North,PRD024,Mixed Masala 100g,MDH,335,158,1580,Healthy,63.6,2024-12-20
INV00142,WH004,Delhi NCR WH,Delhi,North,PRD025,Mixed Fruit Jam 250g,Kissan,940,174,1740,Overstocked,162.1,2024-12-09
INV00143,WH004,Delhi NCR WH,Delhi,North,PRD026,Tomato Ketchup 500g,Heinz,289,100,1000,Healthy,86.7,2024-12-27
INV00144,WH004,Delhi NCR WH,Delhi,North,PRD027,Cornflakes 500g,Kelloggs,59,62,620,Low Stock,28.5,2024-12-14
INV00145,WH004,Delhi NCR WH,Delhi,North,PRD028,Baby Lotion 200ml,Johnson's,26,138,1380,Low Stock,5.7,2024-12-28
INV00146,WH004,Delhi NCR WH,Delhi,North,PRD029,Baby Wipes 80pcs,Pampers,642,84,840,Overstocked,229.3,2024-12-07
INV00147,WH004,Delhi NCR WH,Delhi,North,PRD030,Baby Powder 100g,Johnson's,70,165,1650,Low Stock,12.7,2024-12-09
INV00148,WH004,Delhi NCR WH,Delhi,North,PRD031,Baby Shampoo 100ml,Himalaya,132,100,1000,Healthy,39.6,2024-12-08
INV00149,WH004,Delhi NCR WH,Delhi,North,PRD032,Diaper Pants M 30pcs,Huggies,514,193,1930,Healthy,79.9,2024-12-24
INV00150,WH004,Delhi NCR WH,Delhi,North,PRD033,Whey Protein 500g,Ensure,155,64,640,Healthy,72.7,2024-12-13
INV00151,WH004,Delhi NCR WH,Delhi,North,PRD034,Immunity Syrup 200ml,Dabur Chyawanprash,435,56,560,Overstocked,233.0,2024-12-22
INV00152,WH004,Delhi NCR WH,Delhi,North,PRD035,Pain Relief Gel 30g,Volini,396,200,2000,Healthy,59.4,2025-01-01
INV00153,WH004,Delhi NCR WH,Delhi,North,PRD036,Energy Bar 50g,RiteBite,132,81,810,Healthy,48.9,2024-12-18
INV00154,WH004,Delhi NCR WH,Delhi,North,PRD037,Mouthwash 250ml,Listerine,138,59,590,Healthy,70.2,2024-12-28
INV00155,WH004,Delhi NCR WH,Delhi,North,PRD038,Hand Sanitizer 100ml,Dettol,356,127,1270,Healthy,84.1,2024-12-02
INV00156,WH004,Delhi NCR WH,Delhi,North,PRD039,Glucose Powder 500g,Glucon-D,452,172,1720,Healthy,78.8,2024-12-07
INV00157,WH005,Lucknow WH,Uttar Pradesh,North,PRD001,Shampoo 200ml,Sunsilk,78,68,680,Healthy,34.4,2024-12-28
INV00158,WH005,Lucknow WH,Uttar Pradesh,North,PRD002,Anti-Dandruff Shampoo,Head & Shoulders,396,143,1430,Healthy,83.1,2024-12-07
INV00159,WH005,Lucknow WH,Uttar Pradesh,North,PRD003,Face Wash 100g,Himalaya,453,182,1820,Healthy,74.7,2024-12-11
INV00160,WH005,Lucknow WH,Uttar Pradesh,North,PRD004,Body Lotion 300ml,Vaseline,106,117,1170,Low Stock,27.2,2024-12-27
INV00161,WH005,Lucknow WH,Uttar Pradesh,North,PRD005,Talcum Powder 150g,Ponds,231,99,990,Healthy,70.0,2025-01-01
INV00162,WH005,Lucknow WH,Uttar Pradesh,North,PRD006,Herbal Hair Oil 100ml,Dabur Amla,280,188,1880,Healthy,44.7,2024-12-23
INV00163,WH005,Lucknow WH,Uttar Pradesh,North,PRD007,Whitening Toothpaste,Colgate,381,133,1330,Healthy,85.9,2024-12-28
INV00164,WH005,Lucknow WH,Uttar Pradesh,North,PRD008,Charcoal Toothpaste,Patanjali,109,173,1730,Low Stock,18.9,2024-12-10
INV00165,WH005,Lucknow WH,Uttar Pradesh,North,PRD009,Deo Spray 150ml,Axe,487,197,1970,Healthy,74.2,2024-12-31
INV00166,WH005,Lucknow WH,Uttar Pradesh,North,PRD010,Perfume Deo 150ml,Fogg,862,181,1810,Overstocked,142.9,2024-12-18
INV00167,WH005,Lucknow WH,Uttar Pradesh,North,PRD011,Moisturizing Soap 100g,Dove,164,100,1000,Healthy,49.2,2024-12-27
INV00168,WH005,Lucknow WH,Uttar Pradesh,North,PRD012,Neem Soap 100g,Medimix,245,91,910,Healthy,80.8,2024-12-13
INV00169,WH005,Lucknow WH,Uttar Pradesh,North,PRD013,Detergent Powder 1kg,Surf Excel,68,130,1300,Low Stock,15.7,2024-12-19
INV00170,WH005,Lucknow WH,Uttar Pradesh,North,PRD014,Fabric Softener 500ml,Comfort,424,53,530,Overstocked,240.0,2024-12-24
INV00171,WH005,Lucknow WH,Uttar Pradesh,North,PRD015,Dish Wash Liquid 500ml,Vim,154,197,1970,Low Stock,23.5,2024-12-24
INV00172,WH005,Lucknow WH,Uttar Pradesh,North,PRD016,Floor Cleaner 1L,Lizol,112,85,850,Healthy,39.5,2024-12-21
INV00173,WH005,Lucknow WH,Uttar Pradesh,North,PRD017,Toilet Cleaner 500ml,Harpic,109,70,700,Healthy,46.7,2024-12-26
INV00174,WH005,Lucknow WH,Uttar Pradesh,North,PRD018,All-Purpose Spray 400ml,Colin,470,188,1880,Healthy,75.0,2024-12-08
INV00175,WH005,Lucknow WH,Uttar Pradesh,North,PRD019,Cream Biscuits 200g,Oreo,128,50,500,Healthy,76.8,2024-12-12
INV00176,WH005,Lucknow WH,Uttar Pradesh,North,PRD020,Instant Noodles 75g,Maggi,180,147,1470,Healthy,36.7,2024-12-28
INV00177,WH005,Lucknow WH,Uttar Pradesh,North,PRD021,Refined Sunflower Oil 1L,Fortune,129,85,850,Healthy,45.5,2024-12-02
INV00178,WH005,Lucknow WH,Uttar Pradesh,North,PRD022,Masala Chai 250g,Tata Tea,262,91,910,Healthy,86.4,2024-12-10
INV00179,WH005,Lucknow WH,Uttar Pradesh,North,PRD023,Instant Coffee 50g,Nescafe,42,72,720,Low Stock,17.5,2024-12-24
INV00180,WH005,Lucknow WH,Uttar Pradesh,North,PRD024,Mixed Masala 100g,MDH,142,59,590,Healthy,72.2,2024-12-18
INV00181,WH005,Lucknow WH,Uttar Pradesh,North,PRD025,Mixed Fruit Jam 250g,Kissan,402,52,520,Overstocked,231.9,2024-12-30
INV00182,WH005,Lucknow WH,Uttar Pradesh,North,PRD026,Tomato Ketchup 500g,Heinz,96,124,1240,Low Stock,23.2,2024-12-31
INV00183,WH005,Lucknow WH,Uttar Pradesh,North,PRD027,Cornflakes 500g,Kelloggs,12,81,810,Low Stock,4.4,2024-12-29
INV00184,WH005,Lucknow WH,Uttar Pradesh,North,PRD028,Baby Lotion 200ml,Johnson's,315,125,1250,Healthy,75.6,2024-12-28
INV00185,WH005,Lucknow WH,Uttar Pradesh,North,PRD029,Baby Wipes 80pcs,Pampers,70,96,960,Low Stock,21.9,2024-12-19
INV00186,WH005,Lucknow WH,Uttar Pradesh,North,PRD030,Baby Powder 100g,Johnson's,19,78,780,Low Stock,7.3,2024-12-10
INV00187,WH005,Lucknow WH,Uttar Pradesh,North,PRD031,Baby Shampoo 100ml,Himalaya,163,122,1220,Healthy,40.1,2024-12-12
INV00188,WH005,Lucknow WH,Uttar Pradesh,North,PRD032,Diaper Pants M 30pcs,Huggies,489,170,1700,Healthy,86.3,2024-12-31
